"DateTime","Sales (USD)"
"2021-11-19 00:00:00",7319902.73
"2021-11-20 00:00:00",5724152.46
"2021-11-21 00:00:00",5087438.05
"2021-11-22 00:00:00",3605852.7
"2021-11-23 00:00:00",2044035.72
"2021-11-24 00:00:00",1753878.78
"2021-11-25 00:00:00",3791362.52
"2021-11-26 00:00:00",4029731.38
"2021-11-27 00:00:00",3424822.49
"2021-11-28 00:00:00",4141145.42
"2021-11-29 00:00:00",6383567.13
"2021-11-30 00:00:00",3708007.54
"2021-12-01 00:00:00",4339826.67
"2021-12-02 00:00:00",5434889.31
"2021-12-03 00:00:00",8367502.27
"2021-12-04 00:00:00",7667522.33
"2021-12-05 00:00:00",4010324.94
"2021-12-06 00:00:00",3548581.03
"2021-12-07 00:00:00",4280449.35
"2021-12-08 00:00:00",5140238.44
"2021-12-09 00:00:00",6035611.81
"2021-12-10 00:00:00",6034444.34
"2021-12-11 00:00:00",4769857.55
"2021-12-12 00:00:00",3542780.44
"2021-12-13 00:00:00",4350474.99
"2021-12-14 00:00:00",4368365.94
"2021-12-15 00:00:00",4040658.91
"2021-12-16 00:00:00",5574939.19
"2021-12-17 00:00:00",3205418.81
"2021-12-18 00:00:00",2459324.41
"2021-12-19 00:00:00",4122022.03
"2021-12-20 00:00:00",2057468.87
"2021-12-21 00:00:00",3512345.04
"2021-12-22 00:00:00",4795306.69
"2021-12-23 00:00:00",5450994.38
"2021-12-24 00:00:00",4790670.56
"2021-12-25 00:00:00",5420968.76
"2021-12-26 00:00:00",7675825.64
"2021-12-27 00:00:00",6187954.99
"2021-12-28 00:00:00",9001721.51
"2021-12-29 00:00:00",5479037.05
"2021-12-30 00:00:00",7896658.81
"2021-12-31 00:00:00",9296686.34
"2022-01-01 00:00:00",25435443.51
"2022-01-02 00:00:00",19864141.77
"2022-01-03 00:00:00",17381405.76
"2022-01-04 00:00:00",7109846.92
"2022-01-05 00:00:00",7137639.7
"2022-01-06 00:00:00",6584354.37
"2022-01-07 00:00:00",7245545.46
"2022-01-08 00:00:00",5485003.19
"2022-01-09 00:00:00",16165234.7
"2022-01-10 00:00:00",10698854.26
"2022-01-11 00:00:00",6583857.3
"2022-01-12 00:00:00",8637559.17
"2022-01-13 00:00:00",5476075.88
"2022-01-14 00:00:00",8271068.97
"2022-01-15 00:00:00",11857758.96
"2022-01-16 00:00:00",10986744.15
"2022-01-17 00:00:00",4346437.23
"2022-01-18 00:00:00",6088475.5
"2022-01-19 00:00:00",4810563.23
"2022-01-20 00:00:00",10401603.97
"2022-01-21 00:00:00",6428188.91
"2022-01-22 00:00:00",6147770.81
"2022-01-23 00:00:00",5382547.5
"2022-01-24 00:00:00",7276379.99
"2022-01-25 00:00:00",11437620.34
"2022-01-26 00:00:00",8270858.58
"2022-01-27 00:00:00",9530405.5
"2022-01-28 00:00:00",14502248.87
"2022-01-29 00:00:00",17624628.23
"2022-01-30 00:00:00",28389685.27
"2022-01-31 00:00:00",31173192.91
"2022-02-01 00:00:00",11429032.85
"2022-02-02 00:00:00",5034256.19
"2022-02-03 00:00:00",6077948.3
"2022-02-04 00:00:00",8616408.83
"2022-02-05 00:00:00",6451589.23
"2022-02-06 00:00:00",5688442.41
"2022-02-07 00:00:00",6182253.21
"2022-02-08 00:00:00",2876610.76
"2022-02-09 00:00:00",5338396.33
"2022-02-10 00:00:00",4405461.81
"2022-02-11 00:00:00",3329007.1
"2022-02-12 00:00:00",5265552.19
"2022-02-13 00:00:00",5900462.86
"2022-02-14 00:00:00",1304159.64
"2022-02-15 00:00:00",5060488.54
"2022-02-16 00:00:00",2663562.59
"2022-02-17 00:00:00",3156045.12
"2022-02-18 00:00:00",4260149.14
"2022-02-19 00:00:00",596984.24
"2022-02-20 00:00:00",2928329.26
"2022-02-21 00:00:00",2555130.81
"2022-02-22 00:00:00",2509456.78
"2022-02-23 00:00:00",2955663.08
"2022-02-24 00:00:00",5455991.29
"2022-02-25 00:00:00",9580146.45
"2022-02-26 00:00:00",3621719.09
"2022-02-27 00:00:00",3178849.05
"2022-02-28 00:00:00",2392608.42
"2022-03-01 00:00:00",2577970.56
"2022-03-02 00:00:00",3214033.58
"2022-03-03 00:00:00",1061281.41
"2022-03-04 00:00:00",2671371.98
