Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Sales_USD,Number_of_Sales
2018-06-20,48526324,1361722,44427,1975
2018-06-21,48589762,1364811,63438,3089
2018-06-22,48647925,1370048,58163,5237
2018-06-23,48693978,1373076,46052,3028
2018-06-24,48746630,1376119,52651,3043
2018-06-25,48790677,1378693,44047,2574
2018-06-26,48829374,1381017,38696,2324
2018-06-27,48864600,1383445,35226,2428
2018-06-28,48904526,1386078,39925,2633
2018-06-29,48962971,1389376,58444,3298
2018-06-30,48996056,1391798,33084,2422
2018-07-01,49014444,1393131,18387,1333
2018-07-02,49031680,1393830,17236,699
2018-07-03,49060711,1394455,29030,625
2018-07-04,49164174,1395210,103462,755
2018-07-05,49196814,1396218,32640,1008
2018-07-06,49219183,1397934,22368,1716
2018-07-07,49235862,1399200,16679,1266
2018-07-08,49255536,1400985,19674,1785
2018-07-09,49289919,1403782,34382,2797
2018-07-10,49321785,1405829,31866,2047
2018-07-11,49361863,1408250,40077,2421
2018-07-12,49404804,1411238,42940,2988
2018-07-13,49450674,1415058,45870,3820
2018-07-14,49469360,1416674,18685,1616
2018-07-15,49501242,1418158,31881,1484
2018-07-16,49554757,1420343,53515,2185
2018-07-17,49596095,1422267,41337,1924
2018-07-18,49645130,1424149,49034,1882
2018-07-19,49681412,1426452,36282,2303
2018-07-20,49709860,1428362,28447,1910
2018-07-21,49740413,1430621,30553,2259
2018-07-22,49792800,1432913,52386,2292
2018-07-23,49837740,1435461,44940,2548
2018-07-24,49890441,1437382,52700,1921
2018-07-25,49932226,1439883,41785,2501
2018-07-26,49975458,1443320,43231,3437
2018-07-27,50391373,1447472,415914,4152
2018-07-28,51288927,1450619,897554,3147
2018-07-29,51319966,1452867,31039,2248
2018-07-30,51493998,1454729,174032,1862
2018-07-31,51588237,1456803,94238,2074
2018-08-01,51622536,1459364,34298,2561
2018-08-02,51855533,1461733,232997,2369
2018-08-03,51902035,1463510,46501,1777
2018-08-04,51955942,1465523,53906,2013
2018-08-05,52013885,1467370,57943,1847
2018-08-06,52058341,1468991,44456,1621
2018-08-07,52111376,1470412,53035,1421
